n_sl,xi_0_sl,xi_inf_sl,h_0_sl_sl,error
13.863761699699808,18150450.42238695,12438445.974943865,4676074720.92506,670284162633435.4
60.66813364350527,12950309.202295171,23944096.461501375,4118970536.776942,2674681023686350.0
10.075542705941444,9400953.422942568,10723400.408014,1461001451.9892945,472534341159925.6
29.939993663663145,9688739.623711225,30174068.60598034,2195681212.4492655,4222114223210576.0
34.75129542164189,10924355.29521029,15624709.82322062,5836113197.317003,1136832593895419.8
45.911878745249886,10816334.271171937,11545684.990718078,2987043257.127146,621615943374513.2
49.495517826048534,9108412.874108134,16890097.768801697,5676364175.216226,1330738791920681.8
68.25932769894683,17440120.234629456,30981915.479974568,6636366886.148601,4478788712475378.5
41.959332012289224,13563398.141123796,10335141.803466622,3690481751.6090136,497849470475081.9
17.219208531974967,7224228.797538009,28435398.809910808,7915554848.499973,3650049242579770.0
13.769345299739896,8733496.180481974,26112645.394676074,3250605563.585061,2966553138406804.5
25.281199071135795,13765868.660838434,23694581.81063621,1756882817.6526985,2596042776994754.0
51.65693753141984,14686806.991472065,47363319.267449185,6098898227.451061,1.0470416701178662e+16
19.82823486524206,10133561.418548094,25940546.547837485,3414552508.0889745,3070220270534540.5
14.164157368103922,10505724.563906131,44123410.57809989,1672842243.5434132,8533603083391349.0
17.886226386867357,9180629.523321392,25942218.33614478,5805541083.579286,3038092605656128.0
16.014947988533198,14984357.989479424,27307312.975014035,1786626495.8650746,3341146191332977.0
38.295326552324966,14987037.34978341,40124568.41125154,5320934661.541415,7509110541380230.0
12.820771311008507,12678544.032977447,19115159.13160167,5780733048.504217,1561497394167579.2
14.769219947711736,19271918.194048584,28819787.12267433,1606195083.9424763,3650287983823199.0
30.21740959418274,17949087.695572235,17419342.173760753,6312293673.3990555,1410240716719587.2
15.11513989813805,10085105.587181117,23785134.133232214,2950788354.811986,2516439865718546.0
69.73813165800178,5108267.194926091,12764280.543188144,7048448197.5502405,759725854882218.0
36.709498014278566,14721916.713530872,16303001.992827557,2007251405.2080555,1238284738876065.2
12.293745090118307,10308077.000607409,41029307.04816178,2258749167.2318525,7211984297416949.0
61.88549144128196,5974725.776648323,16550576.121777883,1225389881.2265182,1273860504285585.8
35.11554311173234,11683664.745213974,29355553.149807256,5564397830.125446,4016574382353697.0
46.81530580021557,13375944.347682497,12782225.737304289,2573377527.9666452,761935308999804.4
48.15802185585471,19334585.234053593,12152326.532764427,7163747149.319548,688613973680247.5
55.165068044248926,16927625.993075874,16041248.45898329,2996876389.939415,1200268875829375.5
43.342922572852146,7868746.924035306,47134691.14154121,6540913027.814562,1.0368816487551262e+16
62.35352776867123,11925241.699194694,23167233.0863937,2682501927.7277355,2502588683272796.5
46.99703416059111,10976869.224665578,14594195.534161752,3948865318.6085587,993394241067709.5
51.189392476549074,14471603.372143468,14384492.232035346,1914268049.0139685,965095204008519.9
48.250724581544716,5976937.128787969,17848088.99917166,8023306249.353397,1485997881689538.2
37.75985660085896,7074446.567782734,24384011.89184595,3166893936.616518,2771056992643651.0
37.64070061143173,10246758.766907355,49137722.95199023,1191633064.0617766,1.0947763734145e+16
56.85168212948177,14283779.886947192,12902464.935903963,7103543832.89383,776416303281293.4
27.61440923634247,10055407.157442193,28787321.280350003,2154704419.355135,3838440763163697.0
31.65321116731277,17817606.80951815,38896350.4478025,2044648657.253161,7009453150605320.0
26.52790377185877,16018428.627711527,32037325.827145904,8219838583.150869,4758306169775473.0
19.9335031096843,9440595.964032333,11099698.963292375,1847311239.1987162,561083597355551.44
78.21396393911209,6677659.1486963555,20421074.610234693,2775223002.506325,1943964461521708.5
63.64281073613434,13060892.091184136,48205738.717902824,4806962902.48958,1.0834202739981074e+16
55.46144752348504,10938820.030803274,14968587.832118226,7643586987.310612,1045094280794556.0
48.236299243237475,13998429.527995368,24355769.224936575,7494659982.001457,2767843483463656.5
61.939397178915826,14475919.623618433,10673958.0004755,3421204849.481986,531271949557659.3
23.905572532127934,9643594.091239149,18947038.074573524,1099609236.4143643,1652011943694370.5
55.873326395926924,11702738.483270396,19792204.26676711,1499880304.448554,1824249065349652.8
68.3275931898294,7907133.833458681,35840826.274332054,3563176257.270049,5985347109816621.0
37.7525429686207,11946187.61395626,29124309.379021876,1408489814.2901058,3928405867699708.5
69.4100319012967,17723532.09488754,29585118.9843781,637202249.2759733,4008864824094410.0
11.244701707435574,7677798.727921458,16389149.621261278,9199175326.416737,1127353329219910.8
72.4365383916616,19915105.612096146,43396283.52934813,9526565961.755463,8790297873717653.0
32.21673528704743,15323487.678434467,29566116.4488207,4088770879.7600136,4069940218471284.5
77.01383600211884,15577832.22218201,19836492.620690167,151346688.69933605,1765719226953296.5
16.464692105581506,10573734.063800778,32755651.215730846,5094752971.418465,4814700163331243.0
18.383815335199078,10964889.20078062,12125725.130043712,4676074720.92506,666276422510458.9
20.388638648105633,8645804.819253664,26164910.27421825,5175923549.886652,3134735836208732.0
10.075542705941444,9400953.422942568,15203583.40029063,798285110.5870242,949686519625900.9
15.006297096981672,5461223.5191160645,30978878.260400668,3778051288.6067505,4274349910075861.5
13.024996789095887,7886602.623855277,15624709.82322062,1612278848.7610955,1060835353720582.9
69.84048236728319,10816334.271171937,17165895.768578805,2987043257.127146,1374164603815541.0
28.12451474950948,10236693.430534713,16890097.768801697,5099312549.772539,1324292617300719.0
68.25932769894683,11163622.250186255,13918682.574963588,1334476804.0680804,903020073452793.2
41.959332012289224,12275303.608840626,15611954.069791181,6245373140.9284115,1136447033272983.0
16.8801819269221,9000398.698802607,28435398.809910808,588766862.8440142,3554104146517109.0
29.409585130314035,5448960.187144416,26112645.394676074,8759836340.799313,3169206716458160.5
57.68896242326167,13484990.631075978,15052129.680393375,3155123698.2452993,1056770577172899.1
25.258607219521487,9024382.577634968,41506262.81217229,5086100840.972787,7980366291294206.0
23.33348257108992,7638284.595698877,25940546.547837485,1587526099.9105086,3095418993594279.0
48.47902717674996,14061100.58410111,21485473.521472715,3249434079.6492434,2153490149558323.5
45.849799650542266,9180629.523321392,11825195.2627744,1134847980.5647893,651829723026436.6
16.014947988533198,10855654.056888765,27307312.975014035,1786626495.8650746,3342070376934378.0
15.99956304919835,8989875.096537042,11848398.50471237,6020418088.191866,622831641158504.9
47.64274512296301,8066330.299238312,19928888.636387136,5468810004.618774,1852815803162585.2
15.496491549348605,9421156.727549996,28087370.40944887,913981056.8472695,3482785785121689.5
10.885601877391629,16478697.482854301,32268656.133387443,6860636630.570818,4286368571417444.5
11.29927149058576,10688124.309810957,15501133.607176948,2244666744.5659075,1008932534078053.1
15.11513989813805,8843034.596738856,40643954.74676014,126288991.99235725,5166294611178102.0
40.01942183442768,7302329.22453122,26336930.828014903,7048448197.5502405,3235385941528362.0
50.08200924201389,6849098.2917137,39720260.63517798,1804853800.0207148,7283465711847862.0
65.39951584863215,10308077.000607409,42885615.804748915,2258749167.2318525,8518182333861253.0
30.164429462269503,5974725.776648323,26367476.41063071,4283819354.963503,3233907220968570.0
70.32641355109064,13130413.667359702,24072978.736893345,4453020991.461881,2703122843896978.5
36.63310331490939,8089618.987620519,16450036.330548437,352518445.7683439,1233025572112631.2
17.567569533226578,12364339.316399088,18439686.50647644,4560682482.433412,1533239828654055.8
11.64211289012976,7493831.087088126,12152326.532764427,4779936486.151861,619691033524727.5
33.47406828585042,10289508.977610065,31245912.60496473,5401024721.589709,4548124325063096.0
65.23082924535069,7868746.924035306,25253900.820579674,9873379352.209532,2975410650967353.5
15.167286846099465,11925241.699194694,24612128.468127325,6107799654.524788,2691520348905965.5
19.741744139414518,12911906.16471821,14594195.534161752,3889505099.5064955,969918670275561.6
62.555488576167804,15859129.661134977,33950925.61507075,1752361121.7166796,5348379960045604.0
